лс;дата;номер документа;сумма;пени
50141991201;02.12.22;499487;3699,84;
50141969155;05.12.22;458113;757,03;
50141960134;05.12.22;690108;1514,06;
50141980196;05.12.22;987738;1844,22;
50141931287;06.12.22;422851;754,2;
50141931287;06.12.22;422647;754,2;
50141931287;06.12.22;422862;754,2;
50141915166;06.12.22;409788;1932,14;
50141950091;06.12.22;96643;4818,08;
50141927223;08.12.22;412244;2623,82;
50141931139;08.12.22;5401;2631,82;
50141937863;08.12.22;5794;2687,94;
50141997177;08.12.22;417194;3152,68;
50141994147;09.12.22;788666;2695,93;
50141910280;09.12.22;796780;3160,7;
50141994169;09.12.22;1551;4516,65;
50141909232;09.12.22;438331;6849,14;
50141925164;12.12.22;775926;842,41;
50141989018;12.12.22;581699;2639,87;
50141953137;12.12.22;451777;2928,33;
50141903113;12.12.22;233437;2944,34;
50141957265;12.12.22;559442;4811,37;
50141920189;12.12.22;744791;5004,92;
50141989151;12.12.22;804771;5588,39;
50141937096;14.12.22;164478;10;
50141929250;14.12.22;799454;2000;
50141916039;14.12.22;112909;5685,32;
50141973197;15.12.22;16182;2936,32;
50141928246;15.12.22;638480;4114,13;
50141989168;15.12.22;1155;10844,89;
50141902231;16.12.22;619998;2254,05;
50141925003;19.12.22;840424;900;
50141976031;19.12.22;324746;2623,82;
50141955090;19.12.22;338615;2639,87;
50141953050;19.12.22;781750;2679,92;
50141902158;19.12.22;162022;2695,93;
50141946262;19.12.22;334666;2695,93;
50141966033;19.12.22;177284;3144,68;
50141953069;19.12.22;183754;3152,68;
50141950136;19.12.22;368360;3160,7;
50141902028;19.12.22;100925;3229,72;
50141922165;19.12.22;186755;4104,5;
50141922235;19.12.22;395668;4114,13;
50141973229;19.12.22;1583;4803,38;
50141917072;19.12.22;850154;6352,75;
50141922002;20.12.22;481564;768,42;
50141913106;20.12.22;158244;2679,92;
50141950086;20.12.22;552978;2679,92;
50141922002;20.12.22;480540;2727,99;
50141936260;20.12.22;839862;2936,32;
50141984192;20.12.22;436825;4795,33;
50141973210;20.12.22;432969;4818,08;
50141970645;21.12.22;267781;1437;
50141980145;21.12.22;1404;1502,68;
50141929250;21.12.22;143;2196,34;
50141976539;21.12.22;322983;2843,92;
50141929269;21.12.22;753391;2936,32;
50141903688;21.12.22;164144;3448,8;
50141926704;21.12.22;62891;3448,8;
50141910060;21.12.22;302097;4811,37;
50141921675;22.12.22;219208;2770,36;
50141960405;22.12.22;559592;2778,54;
50141970735;22.12.22;737893;3211,74;
50141985214;22.12.22;187308;3452,96;
50141984202;22.12.22;187290;3452,96;
50141980196;22.12.22;540325;4082,81;
50141939131;22.12.22;722174;5704,74;
50141922284;23.12.22;535405;897,86;
50141984215;23.12.22;969545;2687,94;
50141901254;23.12.22;257;2695,93;
50141940401;23.12.22;886244;4012,14;
50141931070;23.12.22;108761;5704,74;
50141923433;24.12.22;581979;3375,22;
50141980206;25.12.22;50743;5704,74;
50141901324;26.12.22;802967;802,9;
50141955270;26.12.22;273496;2639,87;
50141904062;26.12.22;188798;2671,9;
50141928251;26.12.22;243463;2703,95;
50141918775;26.12.22;950479;3211,74;
50141909770;26.12.22;254926;3374,58;
50141912661;26.12.22;490416;3407,94;
50141971375;26.12.22;953018;3416,1;
50141966363;26.12.22;167;3424,28;
50141969155;26.12.22;405278;3452,96;
50141905545;26.12.22;715778;3473,32;
50141941054;26.12.22;199540;4086,66;
50141946055;26.12.22;196099;4086,66;
50141957085;26.12.22;916947;4787,33;
50141902356;27.12.22;315334;2770,36;
50141911547;27.12.22;169110;2852,1;
50141932040;27.12.22;920329;3152,68;
50141928760;27.12.22;971899;3440,62;
50141990476;28.12.22;900179;2770,36;
50141903104;28.12.22;946656;3800,44;
