лс;дата;номер документа;сумма;пени
50146795001;13.12.2022;658;3806,19;
50146788002;13.12.2022;658;2942,06;
50146781003;13.12.2022;658;1169,48;
50146770004;13.12.2022;658;645,81;
50146767005;13.12.2022;658;3801,20;
50146776006;13.12.2022;658;949,05;
50146777007;13.12.2022;658;1169,48;
50146798008;13.12.2022;658;1734,39;
50146703009;13.12.2022;658;2820,24;
50146777010;13.12.2022;658;858,49;
50146776011;13.12.2022;658;1908,09;
50146767012;13.12.2022;658;1830,74;
50146770013;13.12.2022;658;2950,59;
50146781014;13.12.2022;658;2861,65;
50146788015;13.12.2022;658;738,61;
50146795016;13.12.2022;658;855,60;
50146790017;13.12.2022;658;1961,91;
50146726215;13.12.2022;658;1123,39;
50146716019;13.12.2022;658;795,98;
50146719216;13.12.2022;658;864,30;
50146717021;13.12.2022;658;2820,24;
50146793218;13.12.2022;658;1237,95;
50146723023;13.12.2022;658;1538,78;
50146712024;13.12.2022;658;2992,01;
50146705025;13.12.2022;658;1471,43;
50146798026;13.12.2022;658;2952,05;
50146703027;13.12.2022;658;1163,35;
50146776028;13.12.2022;658;2982,02;
50146777029;13.12.2022;658;1350,59;
50146703030;13.12.2022;658;2952,05;
50146798031;13.12.2022;658;1903,10;
50146705032;13.12.2022;658;2982,02;
50146712033;13.12.2022;658;3801,20;
50146723034;13.12.2022;658;2952,05;
50146726035;13.12.2022;658;1908,09;
50146717036;13.12.2022;658;2987,01;
50146772226;13.12.2022;658;2087,26;
50146795038;13.12.2022;658;1047,50;
50146790039;13.12.2022;658;491,12;
50146714040;13.12.2022;658;2987,01;
50146779230;13.12.2022;658;2445,94;
50146704042;13.12.2022;658;2952,05;
50146705043;13.12.2022;658;491,12;
50146718044;13.12.2022;658;2987,01;
50146723045;13.12.2022;658;1103,57;
50146732046;13.12.2022;658;2957,04;
50146770233;13.12.2022;658;369,31;
50146754048;13.12.2022;658;2320,25;
50146784235;13.12.2022;658;2816,53;
50146790237;13.12.2022;658;2957,04;
50146732051;13.12.2022;658;1903,10;
50146723052;13.12.2022;658;868,64;
50146718053;13.12.2022;658;3791,21;
50146719238;13.12.2022;658;2947,05;
50146704055;13.12.2022;658;1908,09;
50146736240;13.12.2022;658;1158,19;
50146742242;13.12.2022;658;2207,14;
50146745243;13.12.2022;658;1901,32;
50146756244;13.12.2022;658;491,12;
50146740060;13.12.2022;658;1638,04;
50146763245;13.12.2022;658;2084,52;
50146749247;13.12.2022;658;1800,14;
